"Gene","K","l","Day","LeuLysMet"
"APPPPM",118.06745,10.90551,4,"PPP"
"APMMPP",103.06266,13.48206,4,"MMP"
"BPMPMP",115.6892,11.4727,4,"MPM"
"BMPPPP",120.04846,9.54478,4,"PPP"
"AMMMPM",115.15429,11.53733,4,"MMP"
"AMMMPM",112.20402,12.86316,4,"MMP"
"BMPPPM",117.88707,10.81505,4,"PPP"
"BPPPMM",118.76974,10.66333,4,"PPM"
"BMMPPP",118.27187,11.13894,4,"MPP"
"AMPMMP",103.26624,12.73499,4,"PMM"
"APPMMM",117.9096,12.04052,4,"PMM"
"BPMPPP",117.98485,9.79351,4,"MPP"
"APMMMP",98.42682,13.29843,4,"MMM"
"BPMMMP",100.65168,13.62545,4,"MMM"
"APMMPM",119.43645,11.22492,4,"MMP"
"BPPMPM",96.85388,13.16355,4,"PMP"
"BMMMPM",113.81976,13.02808,4,"MMP"
"AMMPPP",119.76826,9.65824,4,"MPP"
"BPPPMP",119.15723,11.33285,4,"PPM"
"AMPPMM",121.72598,10.33883,4,"PPM"
"AMPPMP",128.48411,10.80688,4,"PPM"
"APMMPM",118.82731,10.13485,4,"MMP"
"AMPPMM",118.99059,10.83583,4,"PPM"
"BPMPMP",117.65356,12.19057,4,"MPM"
"APMMPP",116.45725,11.38085,4,"MMP"
"BMPPMP",117.12223,9.91583,4,"PPM"
"BMPMMP",116.07864,13.09218,4,"PMM"
"BPMPMM",115.39309,10.1494,4,"MPM"
"BPMPPM",113.83266,10.31965,4,"MPP"
"BMMMPM",116.84709,10.93581,4,"MMP"
"BMPMPM",118.39925,10.87349,4,"PMP"
"APPPMP",117.48678,10.09841,4,"PPM"
"BPPPPM",117.7671,10.47502,4,"PPP"
"BPPMPP",118.31407,10.88172,4,"PMP"
"APMPMP",118.53013,10.53015,4,"MPM"
"IPPPPP",117.74978,9.63942,4,"PrPrPr"
"AMMMMP",117.65214,12.8098,4,"MMM"
"AMMPMM",118.60852,11.35041,4,"MPM"
"BMPMPP",120.21661,11.57453,4,"PMP"
"APMMMM",119.02878,11.82746,4,"MMM"
"AMPPMM",119.04931,10.33118,4,"PPM"
"BMPMMP",118.36025,10.43097,4,"PMM"
"APMMMM",117.78449,12.04938,4,"MMM"
"IPPPPP",120.91936,9.57469,4,"PrPrPr"
"BPMPPP",124.05622,10.63365,4,"MPP"
"APPMPM",113.39633,14.34359,4,"PMP"
"BPPMMP",108.23263,13.48347,4,"PMM"
"BMMMPP",108.00276,12.69075,4,"MMP"
"AMMPPM",116.54662,11.02812,4,"MPP"
"APMPMP",115.87423,11.14137,4,"MPM"
"BMMMMM",115.27527,11.70762,4,"MMM"
"BMPPMM",116.91804,10.60411,4,"PPM"
"IPPPPP",118.56619,10.97259,4,"PrPrPr"
"AMPMMM",106.4841,13.48849,4,"PMM"
"AMMMMM",116.28935,13.33204,4,"MMM"
"BPMMPP",109.04372,12.73435,4,"MMP"
"BMMPPP",117.08921,11.60939,4,"MPP"
"BPPMMM",114.25115,10.47427,4,"PMM"
"AMPMPM",113.83341,10.02902,4,"PMP"
"AMMPPP",114.51498,9.89302,4,"MPP"
"BPPMMM",106.53213,12.50337,4,"PMM"
"BPMMPM",116.13078,12.36349,4,"MMP"
"BPPMPM",107.42821,12.46212,4,"PMP"
"AMPPMP",113.92988,10.1445,4,"PPM"
"BMMPPP",111.80778,10.04129,4,"MPP"
"BPPMMP",105.39606,12.44822,4,"PMM"
"APMMMP",112.50499,11.6631,4,"MMM"
