"Gene","K","l","Day","LeuLysMet"
"AMMPPM",116.36298,17.05838,26,"MPP"
"APMPMP",115.9312,13.11144,26,"MPM"
"BMMMMM",112.1084,18.27449,26,"MMM"
"BMPPMM",118.96935,12.78162,26,"PPM"
"IPPPPP",119.51968,14.16055,26,"PrPrPr"
"AMPMMM",113.16032,16.87242,26,"PMM"
"AMMMMM",112.50809,20.23183,26,"MMM"
"BPMMPP",104.62163,21.4487,26,"MMP"
"BMMPPP",119.18229,15.86749,26,"MPP"
"BPPMMM",117.94905,13.98703,26,"PMM"
"AMPMPM",116.60544,13.41906,26,"PMP"
"AMMPPP",114.80666,16.10909,26,"MPP"
"BPPMMM",112.90126,18.1561,26,"PMM"
"BPMMPM",119.35619,11.99141,26,"MMP"
"BPPMPM",104.56498,20.20418,26,"PMP"
"AMPPMP",120.21329,14.04554,26,"PPM"
"BMMPPP",117.22332,16.39798,26,"MPP"
"BPPMMP",111.57147,19.17487,26,"PMM"
"APMMMP",111.88965,19.02604,26,"MMM"
"AMMPPM",118.46921,15.60286,26,"MPP"
"AMPPMM",122.35529,13.20706,26,"PPM"
"BMMPPM",122.06949,15.98459,26,"MPP"
"BPPPMM",121.99879,13.28944,26,"PPM"
"BMPMMP",119.76869,11.90031,26,"PMM"
"AMMPMP",118.2254,12.99359,26,"MPM"
"APPMPP",79.98906,20.63543,26,"PMP"
"BMPMPM",84.88318,20.86253,26,"PMP"
"APMPMM",119.17486,14.34777,26,"MPM"
"APMMPP",119.40601,13.96393,26,"MMP"
"AMMMPP",102.08989,18.77623,26,"MMP"
"AMPPMM",119.82423,13.94483,26,"PPM"
"BPPMPM",84.27534,21.77536,26,"PMP"
"AMMMPP",100.7092,18.56692,26,"MMP"
"APPPMM",119.30977,14.92244,26,"PPM"
"BPPMMM",119.85976,12.23746,26,"PMM"
"BMMPMP",116.09831,12.92225,26,"MPM"
"BPMPPP",114.54407,16.96352,26,"MPP"
"BMPMPP",72.49297,19.2908,26,"PMP"
"BMPMMM",119.09086,11.99755,26,"PMM"
"APMPMM",113.75434,12.44537,26,"MPM"
"BPMPMP",115.18488,12.28273,26,"MPM"
"APMPPM",105.78768,20.51212,26,"MPP"
"AMPMPP",106.92657,17.18972,26,"PMP"
"BMPMMP",123.23315,11.5788,26,"PMM"
"APMPPM",126.48937,16.31608,26,"MPP"
"BMPMPP",122.7597,12.71044,26,"PMP"
"AMMPPM",114.86101,16.85949,26,"MPP"
"BPMPMM",114.32338,13.66195,26,"MPM"
"AMPMMP",96.28722,17.7827,26,"PMM"
"APMPMM",116.79644,13.8325,26,"MPM"
"BPMPPM",114.19191,16.99739,26,"MPP"
"IPPMPP",56.35243,22.9642,26,"PMP"
"BPPMMP",100.01559,19.15307,26,"PMM"
"AMPMPP",98.04448,18.43529,26,"PMP"
"BPPMPP",120.45177,11.8349,26,"PMP"
"BPPPMP",118.93108,13.74127,26,"PPM"
"AMMMMM",97.23692,17.92959,26,"MMM"
"BMMPMM",115.26063,14.00699,26,"MPM"
"APMPPM",91.47379,20.95172,26,"MPP"
"APMMPM",118.72267,12.50485,26,"MMP"
"BMPPMP",117.7888,14.91353,26,"PPM"
"BPMPMP",115.98529,13.2338,26,"MPM"
"BPMMMM",116.03275,13.30161,26,"MMM"
"APMPPP",108.85549,17.08058,26,"MPP"
"IPPPPP",116.83753,14.58788,26,"PrPrPr"
"AMPMPM",120.41568,12.12528,26,"PMP"
"AMMMMM",104.25504,17.43025,26,"MMM"
"BMPMMM",108.99481,17.57416,26,"PMM"
"AMPPPP",128.56108,14.51161,26,"PPP"
"BMPPMP",118.31545,13.83512,26,"PPM"
"BPPMPM",116.4819,15.05117,26,"PMP"
"APMMMM",112.64387,13.92416,26,"MMM"
"APMPMP",116.44029,12.40248,26,"MPM"
"AMMPPM",72.81003,27.19222,26,"MPP"
"BMMPMM",117.13468,12.24886,26,"MPM"
"BPPMPP",87.3982,29.05959,26,"PMP"
"AMPMPM",93.91621,19.05797,26,"PMP"
"BPMMPM",73.52696,20.34652,26,"MMP"
"AMPMMP",95.37034,18.76587,26,"PMM"
"AMMPPP",116.43523,14.64122,26,"MPP"
"APMPPM",109.53346,17.1198,26,"MPP"
"BMPPMP",117.74927,12.94018,26,"PPM"
"BMMMMM",86.35546,18.09349,26,"MMM"
"APPMMM",118.8745,12.70415,26,"PMM"
"IPPPPP",115.90287,13.79355,26,"PrPrPr"
"BPMMMM",119.10197,12.22092,26,"MMM"
"APPPMP",114.83575,15.01718,26,"PPM"
"APMPPM",115.09772,15.93176,26,"MPP"
"BMPPMP",118.67842,13.27357,26,"PPM"
"BMPPMP",119.12328,13.12962,26,"PPM"
"AMMMPM",89.66153,18.56257,26,"MMP"
"AMPMPP",107.05803,17.97961,26,"PMP"
