"Gene","K","l","Day","LeuLysMet","pH_day","A"
"BMPPPP",125.33374,13.50735,31,"PPP","19_0503",NA
"BPPPMM",118.7439,16.18474,31,"PPM","19_0503",NA
"BMMMPM",120.01546,16.18435,31,"MMP","19_0503",NA
"APMPPP",121.7736,14.76558,31,"MPP","19_0503",NA
"APPMMP",120.00113,14.85208,31,"PMM","19_0503",NA
"AMPMPM",110.01606,16.48525,31,"PMP","19_0503",NA
"APMPMM",115.81546,15.92313,31,"MPM","19_0503",NA
"BMMMMP",122.18019,14.99388,31,"MMM","19_0503",NA
"BMPMPM",115.36112,15.60775,31,"PMP","19_0503",NA
"BPMPMP",114.91747,15.69597,31,"MPM","19_0503",NA
"BPMPMP",114.14253,15.98926,31,"MPM","19_0503",NA
"BMPMMM",104.77954,18.98943,31,"PMM","19_0503",NA
"APPPPM",121.12192,13.14677,31,"PPP","19_0503",NA
"AMMPPP",97.1107,15.68757,31,"MPP","19_0503",NA
"AMMMMP",118.58952,14.97506,31,"MMM","19_0503",NA
"APPMPM",107.08369,16.22131,31,"PMP","19_0503",NA
"IPPPPP",121.94561,13.71236,31,"PrPrPr","19_0503",NA
"APMPPP",118.08675,14.23543,31,"MPP","19_0503",NA
"IPPPPP",123.27301,13.51516,31,"PrPrPr","19_0503",NA
"BMPMMM",98.54591,24.37213,31,"PMM","19_0503",NA
"IPPPPP",124.19243,13.27683,31,"PrPrPr","19_0503",NA
"APPPPM",123.55347,13.91095,31,"PPP","19_0503",NA
"IPPPPP",125.66423,12.54911,31,"PrPrPr","19_0503",NA
"BMMMMP",130.90922,14.82136,31,"MMM","19_0503",NA
"BPPMPP",123.04041,14.53509,31,"PMP","19_0503",NA
"APPMPM",120.26057,15.38124,31,"PMP","19_0503",NA
"APMMMM",118.48217,16.69663,31,"MMM","19_0503",NA
"IPMMMP",122.30937,14.38374,31,"MMM","19_0503",NA
"AMMPMM",118.30887,16.90991,31,"MPM","19_0503",NA
"BPPPMP",119.99853,15.78751,31,"PPM","19_0503",NA
"IPPPPP",121.52304,14.2361,31,"PrPrPr","19_0503",NA
"APMPPM",118.96467,15.75959,31,"MPP","19_0503",NA
"IPPPPP",122.5114,13.39212,31,"PrPrPr","19_0503",NA
"APPPPM",120.67476,15.02461,31,"PPP","19_0503",NA
"IPPPPP",120.80025,14.13237,31,"PrPrPr","19_0503",NA
"BMPMPM",118.705,14.68496,31,"PMP","19_0503",NA
"APPMPP",121.50921,15.10567,31,"PMP","19_0503",NA
"BPMMMP",118.30253,14.66886,31,"MMM","19_0503",NA
"BMPPMP",117.67907,15.2469,31,"PPM","19_0503",NA
"AMMPMP",115.76242,15.28921,31,"MPM","19_0503",NA
"APMPMM",117.62536,14.4211,31,"MPM","19_0503",NA
"IPPPPP",109.2766,16.99537,31,"PrPrPr","19_0503",NA
"AMPMPP",121.78814,15.01513,31,"PMP","19_0503",NA
"AMMMPM",123.27052,14.72229,31,"MMP","19_0503",NA
"BPPPMM",98.20899,17.28878,31,"PPM","19_0503",NA
"AMPMMM",123.24811,19.96908,31,"PMM","19_0503",NA
"APMPMM",118.86337,14.85656,31,"MPM","19_0503",NA
"BPMPMP",127.45884,15.45412,31,"MPM","19_0503",NA
"BPMMPM",121.97867,14.01045,31,"MMP","19_0503",NA
"BPPPMM",118.00984,14.11126,31,"PPM","19_0503",NA
"APPPMP",117.57178,15.36713,31,"PPM","19_0503",NA
"APMMPP",118.38235,15.07551,31,"MMP","19_0503",NA
"BMPMMP",101.92846,19.3375,31,"PMM","19_0503",NA
"AMPMMM",119.61257,15.15202,31,"PMM","19_0503",NA
"AMMPPM",116.77719,15.17519,31,"MPP","19_0503",NA
"BMMPPP",117.5326,14.93811,31,"MPP","19_0503",NA
"AMMMPM",118.0939,14.40329,31,"MMP","19_0503",NA
"APPMMP",120.06656,14.80624,31,"PMM","19_0503",NA
"BPPMMP",118.57056,15.53321,31,"PMM","19_0503",NA
"BPPMMP",117.82718,14.88555,31,"PMM","19_0503",NA
"BPMPPM",115.37299,14.96019,31,"MPP","19_0503",NA
"BMMPPM",116.10058,15.09487,31,"MPP","19_0503",NA
"AMPPMP",116.71461,15.00843,31,"PPM","19_0503",NA
"AMMPPM",108.13083,16.17751,31,"MPP","19_0503",NA
